2024-11-17 17:16:14.044 [info] Starting Python Locator /home/felipersas/.vscode/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-11-17 17:16:15.191 [info] Discovered env: /bin/python
2024-11-17 17:16:15.192 [info] Discovered env: /usr/bin/python
2024-11-17 17:16:15.192 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2024-11-17 17:16:15.193 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2024-11-17 17:16:15.194 [info] Discovered env: /usr/sbin/python
2024-11-17 17:16:15.197 [info] Discovered env: /sbin/python
2024-11-17 17:16:15.211 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-11-17 17:16:15.211 [info] Discovered env: /usr/sbin/python3
2024-11-17 17:16:15.211 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-11-17 17:16:15.211 [info] Discovered env: /sbin/python3
2024-11-17 17:16:15.212 [info] Env ("/usr/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-11-17 17:16:15.212 [info] Discovered env: /usr/sbin/python3.12
2024-11-17 17:16:15.212 [info] Env ("/sbin/python3.12") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.12", prefix: "/usr", version: "3.12.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.12"]) } and reported as Some(GlobalPaths)
2024-11-17 17:16:15.212 [info] Discovered env: /sbin/python3.12
2024-11-17 17:16:15.213 [info] Locator Conda took 208.146068ms
2024-11-17 17:16:15.213 [info] Locator Homebrew took 116.128µs
2024-11-17 17:16:15.213 [info] Locator LinuxGlobal took 204.877525ms
2024-11-17 17:16:15.213 [info] Locator PipEnv took 89.702µs
2024-11-17 17:16:15.213 [info] Locator Poetry took 1.198579ms
2024-11-17 17:16:15.213 [info] Locator PyEnv took 1.367082ms
2024-11-17 17:16:15.213 [info] Locator Venv took 52.871µs
2024-11-17 17:16:15.213 [info] Locator VirtualEnv took 54.133µs
2024-11-17 17:16:15.213 [info] Locator VirtualEnvWrapper took 52.466µs
2024-11-17 17:16:15.213 [info] Locator GlobalVirtualEnvs took 637.37µs
2024-11-17 17:16:15.213 [info] Locator Locators took 208.513137ms
2024-11-17 17:16:15.214 [info] Locator Path took 441.48262ms
2024-11-17 17:16:15.214 [info] Locator Workspaces took 15.050204ms
2024-11-17 17:16:15.214 [info] Refresh completed in 441ms
